Sample_No,Instance_No,Image_Path,Moisture,Lux,Fc,Date,Time,Lattitude,Longitude
S-06,i11-ds-6-1,Data_i11_ds/images_i11_ds/i11-ds-6-1.png,2.54,10797,983,31/12/2021,4:32 PM,-33.8390297,150.999182
S-06,i11-ds-6-2,Data_i11_ds/images_i11_ds/i11-ds-6-2.png,2.54,10797,983,31/12/2021,4:32 PM,-33.8390297,150.999182
S-06,i11-ds-6-3,Data_i11_ds/images_i11_ds/i11-ds-6-3.png,2.54,10797,983,31/12/2021,4:32 PM,-33.8390297,150.999182
S-06,i11-ds-6-4,Data_i11_ds/images_i11_ds/i11-ds-6-4.png,2.54,10797,983,31/12/2021,4:32 PM,-33.8390297,150.999182
S-07,i11-ds-7-1,Data_i11_ds/images_i11_ds/i11-ds-7-1.png,7.5,10948,1265,31/12/2021,4:45 PM,-33.8384798,150.9984848
S-07,i11-ds-7-2,Data_i11_ds/images_i11_ds/i11-ds-7-2.png,7.5,10948,1265,31/12/2021,4:45 PM,-33.8384798,150.9984848
S-08,i11-ds-8-1,Data_i11_ds/images_i11_ds/i11-ds-8-1.png,9.8,5394,553,31/12/2021,4:58 PM,-33.8386396,150.9972643
S-08,i11-ds-8-2,Data_i11_ds/images_i11_ds/i11-ds-8-2.png,9.8,5394,553,31/12/2021,4:58 PM,-33.8386396,150.9972643
S-08,i11-ds-8-3,Data_i11_ds/images_i11_ds/i11-ds-8-3.png,9.8,5394,553,31/12/2021,4:58 PM,-33.8386396,150.9972643
S-9,i11-ds-9-1,Data_i11_ds/images_i11_ds/i11-ds-9-1.png,0.71,8817,1185,2/01/2022,12:53 PM,-33.8342713,150.9792826
S-9,i11-ds-9-2,Data_i11_ds/images_i11_ds/i11-ds-9-2.png,0.71,8817,1185,2/01/2022,12:53 PM,-33.8342713,150.9792826
S-10,i11-ds-10-1,Data_i11_ds/images_i11_ds/i11-ds-10-1.png,9.58,17387,1439,2/01/2022,1:01 PM,-33.8330834,150.9797618
S-10,i11-ds-10-2,Data_i11_ds/images_i11_ds/i11-ds-10-2.png,9.58,17387,1439,2/01/2022,1:01 PM,-33.8330834,150.9797618
S-11,i11-ds-11-1,Data_i11_ds/images_i11_ds/i11-ds-11-1.png,3.81,17324,1519,2/01/2022,1:24 PM,-33.8332505,150.9784969
S-11,i11-ds-11-2,Data_i11_ds/images_i11_ds/i11-ds-11-2.png,3.81,17324,1519,2/01/2022,1:24 PM,-33.8332505,150.9784969
S-11,i11-ds-11-3,Data_i11_ds/images_i11_ds/i11-ds-11-3.png,3.81,17324,1519,2/01/2022,1:24 PM,-33.8332505,150.9784969
S-12,i11-ds-12-1,Data_i11_ds/images_i11_ds/i11-ds-12-1.png,5.13,10243,955,2/01/2022,1:40 PM,-33.8338582,150.9783312
S-12,i11-ds-12-2,Data_i11_ds/images_i11_ds/i11-ds-12-2.png,5.13,10243,955,2/01/2022,1:40 PM,-33.8338582,150.9783312
S-12,i11-ds-12-3,Data_i11_ds/images_i11_ds/i11-ds-12-3.png,5.13,10243,955,2/01/2022,1:40 PM,-33.8338582,150.9783312
S-13,i11-ds-13-1,Data_i11_ds/images_i11_ds/i11-ds-13-1.png,30.11,12002,1140,2/01/2022,2:11 PM,-33.8337339,150.9776138
S-13,i11-ds-13-2,Data_i11_ds/images_i11_ds/i11-ds-13-2.png,30.11,12002,1140,2/01/2022,2:11 PM,-33.8337339,150.9776138
S-13,i11-ds-13-3,Data_i11_ds/images_i11_ds/i11-ds-13-3.png,30.11,12002,1140,2/01/2022,2:11 PM,-33.8337339,150.9776138
S-13,i11-ds-13-4,Data_i11_ds/images_i11_ds/i11-ds-13-4.png,30.11,12002,1140,2/01/2022,2:11 PM,-33.8337339,150.9776138
S-13,i11-ds-13-5,Data_i11_ds/images_i11_ds/i11-ds-13-5.png,30.11,12002,1140,2/01/2022,2:11 PM,-33.8337339,150.9776138
S-14,i11-ds-14-1,Data_i11_ds/images_i11_ds/i11-ds-14-1.png,3.46,6098,998,2/01/2022,2:43 PM,-33.8326925,150.9775133
S-14,i11-ds-14-2,Data_i11_ds/images_i11_ds/i11-ds-14-2.png,3.46,6098,998,2/01/2022,2:43 PM,-33.8326925,150.9775133
S-14,i11-ds-14-3,Data_i11_ds/images_i11_ds/i11-ds-14-3.png,3.46,6098,998,2/01/2022,2:43 PM,-33.8326925,150.9775133
S-14,i11-ds-14-4,Data_i11_ds/images_i11_ds/i11-ds-14-4.png,3.46,6098,998,2/01/2022,2:43 PM,-33.8326925,150.9775133
S-14,i11-ds-14-5,Data_i11_ds/images_i11_ds/i11-ds-14-5.png,3.46,6098,998,2/01/2022,2:43 PM,-33.8326925,150.9775133
S-15,i11-ds-15-1,Data_i11_ds/images_i11_ds/i11-ds-15-1.png,14.54,10730,954,2/01/2022,2:58 PM,-33.8308904,150.9780093
S-15,i11-ds-15-2,Data_i11_ds/images_i11_ds/i11-ds-15-2.png,14.54,10730,954,2/01/2022,2:58 PM,-33.8308904,150.9780093
S-15,i11-ds-15-3,Data_i11_ds/images_i11_ds/i11-ds-15-3.png,14.54,10730,954,2/01/2022,2:58 PM,-33.8308904,150.9780093
S-15,i11-ds-15-4,Data_i11_ds/images_i11_ds/i11-ds-15-4.png,14.54,10730,954,2/01/2022,2:58 PM,-33.8308904,150.9780093
S-15,i11-ds-15-5,Data_i11_ds/images_i11_ds/i11-ds-15-5.png,14.54,10730,954,2/01/2022,2:58 PM,-33.8308904,150.9780093
S-16,i11-ds-16-1,Data_i11_ds/images_i11_ds/i11-ds-16-1.png,14.12,15381,1321,2/01/2022,3:13 PM,-33.8307415,150.9801128
S-17,i11-ds-17-1,Data_i11_ds/images_i11_ds/i11-ds-17-1.png,4.23,13363,1609,2/01/2022,3:29 PM,-33.8299322,150.9795617
S-17,i11-ds-17-2,Data_i11_ds/images_i11_ds/i11-ds-17-2.png,4.23,13363,1609,2/01/2022,3:29 PM,-33.8299322,150.9795617
S-17,i11-ds-17-3,Data_i11_ds/images_i11_ds/i11-ds-17-3.png,4.23,13363,1609,2/01/2022,3:29 PM,-33.8299322,150.9795617
S-17,i11-ds-17-4,Data_i11_ds/images_i11_ds/i11-ds-17-4.png,4.23,13363,1609,2/01/2022,3:29 PM,-33.8299322,150.9795617
S-18,i11-ds-18-1,Data_i11_ds/images_i11_ds/i11-ds-18-1.png,8.14,6706,727,2/01/2022,4:22 PM,-33.823414,150.9880455
S-19,i11-ds-19-1,Data_i11_ds/images_i11_ds/i11-ds-19-1.png,11.25,8667,752,2/01/2022,4:31 PM,-33.8222773,150.9876375
S-19,i11-ds-19-2,Data_i11_ds/images_i11_ds/i11-ds-19-2.png,11.25,8667,752,2/01/2022,4:31 PM,-33.8222773,150.9876375
S-19,i11-ds-19-3,Data_i11_ds/images_i11_ds/i11-ds-19-3.png,11.25,8667,752,2/01/2022,4:31 PM,-33.8222773,150.9876375
S-20,i11-ds-20-1,Data_i11_ds/images_i11_ds/i11-ds-20-1.png,18.74,4823,355,2/01/2022,4:40 PM,-33.822097,150.9865065
S-20,i11-ds-20-2,Data_i11_ds/images_i11_ds/i11-ds-20-2.png,18.74,4823,355,2/01/2022,4:40 PM,-33.822097,150.9865065
S-20,i11-ds-20-3,Data_i11_ds/images_i11_ds/i11-ds-20-3.png,18.74,4823,355,2/01/2022,4:40 PM,-33.822097,150.9865065
S-21,i11-ds-21-1,Data_i11_ds/images_i11_ds/i11-ds-21-1.png,10.84,7568,496,2/01/2022,5:08 PM,-33.8220633,150.9905547
S-22,i11-ds-22-1,Data_i11_ds/images_i11_ds/i11-ds-22-1.png,3.4,13142,1244,2/01/2022,5:18 PM,-33.8215663,150.9918305
S-22,i11-ds-22-2,Data_i11_ds/images_i11_ds/i11-ds-22-2.png,3.4,13142,1244,2/01/2022,5:18 PM,-33.8215663,150.9918305
S-23,i11-ds-23-1,Data_i11_ds/images_i11_ds/i11-ds-23-1.png,2.54,12292,1042,2/01/2022,5:54 PM,-33.8214693,150.9931707
S-23,i11-ds-23-2,Data_i11_ds/images_i11_ds/i11-ds-23-2.png,2.54,12292,1042,2/01/2022,5:54 PM,-33.8214693,150.9931707
S-23,i11-ds-23-3,Data_i11_ds/images_i11_ds/i11-ds-23-3.png,2.54,12292,1042,2/01/2022,5:54 PM,-33.8214693,150.9931707
S-23,i11-ds-23-4,Data_i11_ds/images_i11_ds/i11-ds-23-4.png,2.54,12292,1042,2/01/2022,5:54 PM,-33.8214693,150.9931707
S-24,i11-ds-24-1,Data_i11_ds/images_i11_ds/i11-ds-24-1.png,1.25,6471,571,2/01/2022,6:05 PM,-33.8223825,150.9936035
S-24,i11-ds-24-2,Data_i11_ds/images_i11_ds/i11-ds-24-2.png,1.25,6471,571,2/01/2022,6:05 PM,-33.8223825,150.9936035
S-24,i11-ds-24-3,Data_i11_ds/images_i11_ds/i11-ds-24-3.png,1.25,6471,571,2/01/2022,6:05 PM,-33.8223825,150.9936035
S-25,i11-ds-25-1,Data_i11_ds/images_i11_ds/i11-ds-25-1.png,8.92,7448,793,2/01/2022,6:13 PM,-33.8216016,150.9942857
S-25,i11-ds-25-2,Data_i11_ds/images_i11_ds/i11-ds-25-2.png,8.92,7448,793,2/01/2022,6:13 PM,-33.8216016,150.9942857
S-25,i11-ds-25-3,Data_i11_ds/images_i11_ds/i11-ds-25-3.png,8.92,7448,793,2/01/2022,6:13 PM,-33.8216016,150.9942857
S-25,i11-ds-25-4,Data_i11_ds/images_i11_ds/i11-ds-25-4.png,8.92,7448,793,2/01/2022,6:13 PM,-33.8216016,150.9942857
S-26,i11-ds-26-1,Data_i11_ds/images_i11_ds/i11-ds-26-1.png,3,7608,736,2/01/2022,6:32 PM,-33.8216072,150.9951357
S-26,i11-ds-26-2,Data_i11_ds/images_i11_ds/i11-ds-26-2.png,3,7608,736,2/01/2022,6:32 PM,-33.8216072,150.9951357
S-26,i11-ds-26-3,Data_i11_ds/images_i11_ds/i11-ds-26-3.png,3,7608,736,2/01/2022,6:32 PM,-33.8216072,150.9951357
S-26,i11-ds-26-4,Data_i11_ds/images_i11_ds/i11-ds-26-4.png,3,7608,736,2/01/2022,6:32 PM,-33.8216072,150.9951357
S-26,i11-ds-26-5,Data_i11_ds/images_i11_ds/i11-ds-26-5.png,3,7608,736,2/01/2022,6:32 PM,-33.8216072,150.9951357
S-27,i11-ds-27-1,Data_i11_ds/images_i11_ds/i11-ds-27-1.png,4.53,7486,594,2/01/2022,6:42 PM,-33.8224041,150.9949174
S-27,i11-ds-27-2,Data_i11_ds/images_i11_ds/i11-ds-27-2.png,4.53,7486,594,2/01/2022,6:42 PM,-33.8224041,150.9949174
S-27,i11-ds-27-3,Data_i11_ds/images_i11_ds/i11-ds-27-3.png,4.53,7486,594,2/01/2022,6:42 PM,-33.8224041,150.9949174
S-27,i11-ds-27-4,Data_i11_ds/images_i11_ds/i11-ds-27-4.png,4.53,7486,594,2/01/2022,6:42 PM,-33.8224041,150.9949174
S-28,i11-ds-28-1,Data_i11_ds/images_i11_ds/i11-ds-28-1.png,2.54,7397,689,4/01/2022,6:50 PM,-33.8009121,150.953491
S-28,i11-ds-28-2,Data_i11_ds/images_i11_ds/i11-ds-28-2.png,2.54,7397,689,4/01/2022,6:50 PM,-33.8009121,150.953491
S-28,i11-ds-28-3,Data_i11_ds/images_i11_ds/i11-ds-28-3.png,2.54,7397,689,4/01/2022,6:50 PM,-33.8009121,150.953491
S-28,i11-ds-28-4,Data_i11_ds/images_i11_ds/i11-ds-28-4.png,2.54,7397,689,4/01/2022,6:50 PM,-33.8009121,150.953491
S-28,i11-ds-28-5,Data_i11_ds/images_i11_ds/i11-ds-28-5.png,2.54,7397,689,4/01/2022,6:50 PM,-33.8009121,150.953491
S-29,i11-ds-29-1,Data_i11_ds/images_i11_ds/i11-ds-29-1.png,5.99,4435,365,4/01/2022,6:59 PM,-33.80011,150.9537561
S-29,i11-ds-29-2,Data_i11_ds/images_i11_ds/i11-ds-29-2.png,5.99,4435,365,4/01/2022,6:59 PM,-33.80011,150.9537561
S-29,i11-ds-29-3,Data_i11_ds/images_i11_ds/i11-ds-29-3.png,5.99,4435,365,4/01/2022,6:59 PM,-33.80011,150.9537561
S-29,i11-ds-29-4,Data_i11_ds/images_i11_ds/i11-ds-29-4.png,5.99,4435,365,4/01/2022,6:59 PM,-33.80011,150.9537561
S-29,i11-ds-29-5,Data_i11_ds/images_i11_ds/i11-ds-29-5.png,5.99,4435,365,4/01/2022,6:59 PM,-33.80011,150.9537561
S-30,i11-ds-30-1,Data_i11_ds/images_i11_ds/i11-ds-30-1.png,9.71,9224,838,4/01/2022,7:09 PM,-33.8000995,150.9531932
S-30,i11-ds-30-2,Data_i11_ds/images_i11_ds/i11-ds-30-2.png,9.71,9224,838,4/01/2022,7:09 PM,-33.8000995,150.9531932
S-30,i11-ds-30-3,Data_i11_ds/images_i11_ds/i11-ds-30-3.png,9.71,9224,838,4/01/2022,7:09 PM,-33.8000995,150.9531932
S-31,i11-ds-31-1,Data_i11_ds/images_i11_ds/i11-ds-31-1.png,3.4,5046,447,4/01/2022,7:18 PM,-33.8007313,150.9526743
S-31,i11-ds-31-2,Data_i11_ds/images_i11_ds/i11-ds-31-2.png,3.4,5046,447,4/01/2022,7:18 PM,-33.8007313,150.9526743
S-31,i11-ds-31-3,Data_i11_ds/images_i11_ds/i11-ds-31-3.png,3.4,5046,447,4/01/2022,7:18 PM,-33.8007313,150.9526743
S-32,i11-ds-32-1,Data_i11_ds/images_i11_ds/i11-ds-32-1.png,7.44,4749,690,4/01/2022,7:28 PM,-33.8000052,150.9521807
S-32,i11-ds-32-2,Data_i11_ds/images_i11_ds/i11-ds-32-2.png,7.44,4749,690,4/01/2022,7:28 PM,-33.8000052,150.9521807
S-32,i11-ds-32-3,Data_i11_ds/images_i11_ds/i11-ds-32-3.png,7.44,4749,690,4/01/2022,7:28 PM,-33.8000052,150.9521807
S-32,i11-ds-32-4,Data_i11_ds/images_i11_ds/i11-ds-32-4.png,7.44,4749,690,4/01/2022,7:28 PM,-33.8000052,150.9521807
S-33,i11-ds-33-1,Data_i11_ds/images_i11_ds/i11-ds-33-1.png,25.04,3893,389,16/01/2022,13:38:42,-33.8083221,150.956078
S-33,i11-ds-33-2,Data_i11_ds/images_i11_ds/i11-ds-33-2.png,25.04,3893,389,16/01/2022,13:38:42,-33.8083221,150.956078
S-33,i11-ds-33-3,Data_i11_ds/images_i11_ds/i11-ds-33-3.png,25.04,3893,389,16/01/2022,13:38:42,-33.8083221,150.956078
S-33,i11-ds-33-4,Data_i11_ds/images_i11_ds/i11-ds-33-4.png,25.04,3893,389,16/01/2022,13:38:42,-33.8083221,150.956078
S-33,i11-ds-33-5,Data_i11_ds/images_i11_ds/i11-ds-33-5.png,25.04,3893,389,16/01/2022,13:38:42,-33.8083221,150.956078
S-33,i11-ds-33-6,Data_i11_ds/images_i11_ds/i11-ds-33-6.png,25.04,3893,389,16/01/2022,13:38:42,-33.8083221,150.956078
S-33,i11-ds-33-7,Data_i11_ds/images_i11_ds/i11-ds-33-7.png,25.04,3893,389,16/01/2022,13:38:42,-33.8083221,150.956078
S-33,i11-ds-33-8,Data_i11_ds/images_i11_ds/i11-ds-33-8.png,25.04,3893,389,16/01/2022,13:38:42,-33.8083221,150.956078
S-33,i11-ds-33-9,Data_i11_ds/images_i11_ds/i11-ds-33-9.png,25.04,3893,389,16/01/2022,13:38:42,-33.8083221,150.956078
S-33,i11-ds-33-10,Data_i11_ds/images_i11_ds/i11-ds-33-10.png,25.04,3893,389,16/01/2022,13:38:42,-33.8083221,150.956078
S-33,i11-ds-33-11,Data_i11_ds/images_i11_ds/i11-ds-33-11.png,25.04,3893,389,16/01/2022,13:38:42,-33.8083221,150.956078
S-33,i11-ds-33-12,Data_i11_ds/images_i11_ds/i11-ds-33-12.png,25.04,3893,389,16/01/2022,13:38:42,-33.8083221,150.956078
S-33,i11-ds-33-13,Data_i11_ds/images_i11_ds/i11-ds-33-13.png,25.04,3893,389,16/01/2022,13:38:42,-33.8083221,150.956078
S-33,i11-ds-33-14,Data_i11_ds/images_i11_ds/i11-ds-33-14.png,25.04,3893,389,16/01/2022,13:38:42,-33.8083221,150.956078
S-33,i11-ds-33-15,Data_i11_ds/images_i11_ds/i11-ds-33-15.png,25.04,3893,389,16/01/2022,13:38:42,-33.8083221,150.956078
S-34,i11-ds-34-1,Data_i11_ds/images_i11_ds/i11-ds-34-1.png,24.92,11752,692,16/01/2022,13:56:30,-33.8084683,150.9561998
S-34,i11-ds-34-2,Data_i11_ds/images_i11_ds/i11-ds-34-2.png,24.92,11752,692,16/01/2022,13:56:30,-33.8084683,150.9561998
S-34,i11-ds-34-3,Data_i11_ds/images_i11_ds/i11-ds-34-3.png,24.92,11752,692,16/01/2022,13:56:30,-33.8084683,150.9561998
S-34,i11-ds-34-4,Data_i11_ds/images_i11_ds/i11-ds-34-4.png,24.92,11752,692,16/01/2022,13:56:30,-33.8084683,150.9561998
S-34,i11-ds-34-5,Data_i11_ds/images_i11_ds/i11-ds-34-5.png,24.92,11752,692,16/01/2022,13:56:30,-33.8084683,150.9561998
S-34,i11-ds-34-6,Data_i11_ds/images_i11_ds/i11-ds-34-6.png,24.92,11752,692,16/01/2022,13:56:30,-33.8084683,150.9561998
S-34,i11-ds-34-7,Data_i11_ds/images_i11_ds/i11-ds-34-7.png,24.92,11752,692,16/01/2022,13:56:30,-33.8084683,150.9561998
S-34,i11-ds-34-8,Data_i11_ds/images_i11_ds/i11-ds-34-8.png,24.92,11752,692,16/01/2022,13:56:30,-33.8084683,150.9561998
S-34,i11-ds-34-9,Data_i11_ds/images_i11_ds/i11-ds-34-9.png,24.92,11752,692,16/01/2022,13:56:30,-33.8084683,150.9561998
S-34,i11-ds-34-10,Data_i11_ds/images_i11_ds/i11-ds-34-10.png,24.92,11752,692,16/01/2022,13:56:30,-33.8084683,150.9561998
S-35,i11-ds-35-1,Data_i11_ds/images_i11_ds/i11-ds-35-1.png,19.54,4981,567,16/01/2022,14:19:50,-33.8084439,150.9559476
S-35,i11-ds-35-2,Data_i11_ds/images_i11_ds/i11-ds-35-2.png,19.54,4981,567,16/01/2022,14:19:50,-33.8084439,150.9559476
S-35,i11-ds-35-3,Data_i11_ds/images_i11_ds/i11-ds-35-3.png,19.54,4981,567,16/01/2022,14:19:50,-33.8084439,150.9559476
S-35,i11-ds-35-4,Data_i11_ds/images_i11_ds/i11-ds-35-4.png,19.54,4981,567,16/01/2022,14:19:50,-33.8084439,150.9559476
S-35,i11-ds-35-5,Data_i11_ds/images_i11_ds/i11-ds-35-5.png,19.54,4981,567,16/01/2022,14:19:50,-33.8084439,150.9559476
S-35,i11-ds-35-6,Data_i11_ds/images_i11_ds/i11-ds-35-6.png,19.54,4981,567,16/01/2022,14:19:50,-33.8084439,150.9559476
S-35,i11-ds-35-7,Data_i11_ds/images_i11_ds/i11-ds-35-7.png,19.54,4981,567,16/01/2022,14:19:50,-33.8084439,150.9559476
S-35,i11-ds-35-8,Data_i11_ds/images_i11_ds/i11-ds-35-8.png,19.54,4981,567,16/01/2022,14:19:50,-33.8084439,150.9559476
S-35,i11-ds-35-9,Data_i11_ds/images_i11_ds/i11-ds-35-9.png,19.54,4981,567,16/01/2022,14:19:50,-33.8084439,150.9559476
S-35,i11-ds-35-10,Data_i11_ds/images_i11_ds/i11-ds-35-10.png,19.54,4981,567,16/01/2022,14:19:50,-33.8084439,150.9559476
S-35,i11-ds-35-11,Data_i11_ds/images_i11_ds/i11-ds-35-11.png,19.54,4981,567,16/01/2022,14:19:50,-33.8084439,150.9559476
S-36,i11-ds-36-1,Data_i11_ds/images_i11_ds/i11-ds-36-1.png,18.86,4674,451,16/01/2022,14:59:31,-33.807288,150.9528644
S-36,i11-ds-36-2,Data_i11_ds/images_i11_ds/i11-ds-36-2.png,18.86,4674,451,16/01/2022,14:59:31,-33.807288,150.9528644
S-36,i11-ds-36-3,Data_i11_ds/images_i11_ds/i11-ds-36-3.png,18.86,4674,451,16/01/2022,14:59:31,-33.807288,150.9528644
S-36,i11-ds-36-4,Data_i11_ds/images_i11_ds/i11-ds-36-4.png,18.86,4674,451,16/01/2022,14:59:31,-33.807288,150.9528644
S-36,i11-ds-36-5,Data_i11_ds/images_i11_ds/i11-ds-36-5.png,18.86,4674,451,16/01/2022,14:59:31,-33.807288,150.9528644
S-37,i11-ds-37-1,Data_i11_ds/images_i11_ds/i11-ds-37-1.png,7.12,8986,920,16/01/2022,15:17:18,-33.807226,150.9526734
S-37,i11-ds-37-2,Data_i11_ds/images_i11_ds/i11-ds-37-2.png,7.12,8986,920,16/01/2022,15:17:18,-33.807226,150.9526734
S-37,i11-ds-37-3,Data_i11_ds/images_i11_ds/i11-ds-37-3.png,7.12,8986,920,16/01/2022,15:17:18,-33.807226,150.9526734
S-37,i11-ds-37-4,Data_i11_ds/images_i11_ds/i11-ds-37-4.png,7.12,8986,920,16/01/2022,15:17:18,-33.807226,150.9526734
S-37,i11-ds-37-5,Data_i11_ds/images_i11_ds/i11-ds-37-5.png,7.12,8986,920,16/01/2022,15:17:18,-33.807226,150.9526734
S-37,i11-ds-37-6,Data_i11_ds/images_i11_ds/i11-ds-37-6.png,7.12,8986,920,16/01/2022,15:17:18,-33.807226,150.9526734
S-37,i11-ds-37-7,Data_i11_ds/images_i11_ds/i11-ds-37-7.png,7.12,8986,920,16/01/2022,15:17:18,-33.807226,150.9526734
S-37,i11-ds-37-8,Data_i11_ds/images_i11_ds/i11-ds-37-8.png,7.12,8986,920,16/01/2022,15:17:18,-33.807226,150.9526734
S-38,i11-ds-38-1,Data_i11_ds/images_i11_ds/i11-ds-38-1.png,26.63,5914,512,16/01/2022,15:30:19,-33.8070091,150.9527318
S-38,i11-ds-38-2,Data_i11_ds/images_i11_ds/i11-ds-38-2.png,26.63,5914,512,16/01/2022,15:30:19,-33.8070091,150.9527318
S-38,i11-ds-38-3,Data_i11_ds/images_i11_ds/i11-ds-38-3.png,26.63,5914,512,16/01/2022,15:30:19,-33.8070091,150.9527318
S-38,i11-ds-38-4,Data_i11_ds/images_i11_ds/i11-ds-38-4.png,26.63,5914,512,16/01/2022,15:30:19,-33.8070091,150.9527318
S-38,i11-ds-38-5,Data_i11_ds/images_i11_ds/i11-ds-38-5.png,26.63,5914,512,16/01/2022,15:30:19,-33.8070091,150.9527318
S-38,i11-ds-38-6,Data_i11_ds/images_i11_ds/i11-ds-38-6.png,26.63,5914,512,16/01/2022,15:30:19,-33.8070091,150.9527318
S-38,i11-ds-38-7,Data_i11_ds/images_i11_ds/i11-ds-38-7.png,26.63,5914,512,16/01/2022,15:30:19,-33.8070091,150.9527318
S-38,i11-ds-38-8,Data_i11_ds/images_i11_ds/i11-ds-38-8.png,26.63,5914,512,16/01/2022,15:30:19,-33.8070091,150.9527318
S-38,i11-ds-38-9,Data_i11_ds/images_i11_ds/i11-ds-38-9.png,26.63,5914,512,16/01/2022,15:30:19,-33.8070091,150.9527318
S-38,i11-ds-38-10,Data_i11_ds/images_i11_ds/i11-ds-38-10.png,26.63,5914,512,16/01/2022,15:30:19,-33.8070091,150.9527318
