Set,Sample Number,Image Path,Moisture,Lux
2,35,Data_fpbicc/images/IMG_7184.jpeg,8.8,968
2,36,Data_fpbicc/images/IMG_7185.jpeg,8.3,973
2,37,Data_fpbicc/images/IMG_7186.jpeg,9.3,784
2,38,Data_fpbicc/images/IMG_7188.jpeg,7.6,950
2,39,Data_fpbicc/images/IMG_7189.jpeg,5.8,1191
2,40,Data_fpbicc/images/IMG_7190.jpeg,9,1260
2,41,Data_fpbicc/images/IMG_7191.jpeg,8,1197
2,42,Data_fpbicc/images/IMG_7192.jpeg,6.8,963
3,43,Data_fpbicc/images/IMG_7206.jpeg,9,968
3,44,Data_fpbicc/images/IMG_7207.jpeg,7.9,372
3,45,Data_fpbicc/images/IMG_7208.jpeg,8.5,371
3,46,Data_fpbicc/images/IMG_7209.jpeg,9.8,962
3,47,Data_fpbicc/images/IMG_7210.jpeg,10,958
3,48,Data_fpbicc/images/IMG_7211.jpeg,8.9,781
3,49,Data_fpbicc/images/IMG_7212.jpeg,9.8,965
3,50,Data_fpbicc/images/IMG_7213.jpeg,8.9,1248
3,51,Data_fpbicc/images/IMG_7214.jpeg,10,782
3,52,Data_fpbicc/images/IMG_7215.jpeg,9.9,960
3,53,Data_fpbicc/images/IMG_7216.jpeg,8.9,1157
3,54,Data_fpbicc/images/IMG_7217.jpeg,5,1177
3,55,Data_fpbicc/images/IMG_7218.jpeg,8.9,1307
3,56,Data_fpbicc/images/IMG_7219.jpeg,8.9,1233
3,57,Data_fpbicc/images/IMG_7220.jpeg,8.3,1152
3,58,Data_fpbicc/images/IMG_7221.jpeg,9,954
3,59,Data_fpbicc/images/IMG_7222.jpeg,5.2,969
3,60,Data_fpbicc/images/IMG_7223.jpeg,5.2,972
3,61,Data_fpbicc/images/IMG_7224.jpeg,5.8,970
3,62,Data_fpbicc/images/IMG_7225.jpeg,5.1,617
4,63,Data_fpbicc/images/20240613_153659.jpg,10,891
4,64,Data_fpbicc/images/20240613_154137.jpg,8.9,787
4,65,Data_fpbicc/images/20240613_154307.jpg,6.4,763
4,66,Data_fpbicc/images/20240613_154518.jpg,7.1,835
4,67,Data_fpbicc/images/20240613_154611.jpg,9.1,738
4,68,Data_fpbicc/images/20240613_154832.jpg,8.9,864
4,69,Data_fpbicc/images/20240613_154945.jpg,8.2,846
4,70,Data_fpbicc/images/20240613_155112.jpg,7.4,774
4,71,Data_fpbicc/images/20240613_155213.jpg,8.9,802
4,72,Data_fpbicc/images/20240613_155315.jpg,9.1,795
4,73,Data_fpbicc/images/20240613_155420.jpg,10,765
4,74,Data_fpbicc/images/20240613_155521.jpg,9.2,680
4,75,Data_fpbicc/images/20240613_155617.jpg,9.9,796
4,76,Data_fpbicc/images/20240613_160027.jpg,9.3,759
4,77,Data_fpbicc/images/20240613_160130.jpg,9,816
4,78,Data_fpbicc/images/20240613_160231.jpg,8.2,824
4,79,Data_fpbicc/images/20240613_160317.jpg,8.9,761
4,80,Data_fpbicc/images/20240613_160419.jpg,8.4,762
4,81,Data_fpbicc/images/20240613_160513.jpg,8.8,858
4,82,Data_fpbicc/images/20240613_160635.jpg,8.9,796
4,83,Data_fpbicc/images/20240613_160824.jpg,6.1,716
4,84,Data_fpbicc/images/20240613_160947.jpg,5.8,748
4,85,Data_fpbicc/images/20240613_161047.jpg,8.2,714
5,86,Data_fpbicc/images/IMG_7286.jpeg,2.5,188
5,87,Data_fpbicc/images/IMG_7287.jpeg,1,188
5,88,Data_fpbicc/images/IMG_7288.jpeg,2.7,186
5,89,Data_fpbicc/images/IMG_7289.jpeg,1,125
5,90,Data_fpbicc/images/IMG_7290.jpeg,1,124
5,91,Data_fpbicc/images/IMG_7291.jpeg,0,80
5,92,Data_fpbicc/images/IMG_7292.jpeg,1.2,187
5,93,Data_fpbicc/images/IMG_7293.jpeg,0.7,184
5,94,Data_fpbicc/images/IMG_7294.jpeg,7.8,16
5,95,Data_fpbicc/images/IMG_7295.jpeg,6,29
5,96,Data_fpbicc/images/IMG_7296.jpeg,8,15
5,97,Data_fpbicc/images/IMG_7297.jpeg,1,18
5,98,Data_fpbicc/images/IMG_7298.jpeg,3,17
5,99,Data_fpbicc/images/IMG_7299.jpeg,0,17
5,100,Data_fpbicc/images/IMG_7300.jpeg,0,81
5,101,Data_fpbicc/images/IMG_7301.jpeg,1.9,2
5,102,Data_fpbicc/images/IMG_7302.jpeg,10,3
5,103,Data_fpbicc/images/IMG_7303.jpeg,7.9,3
5,104,Data_fpbicc/images/IMG_7304.jpeg,10,3
5,105,Data_fpbicc/images/IMG_7305.jpeg,6.9,2
5,106,Data_fpbicc/images/IMG_7306.jpeg,8.3,2
6,107,Data_fpbicc/images/IMG_7307.jpeg,10,1164
6,108,Data_fpbicc/images/IMG_7308.jpeg,10,1693
6,109,Data_fpbicc/images/IMG_7309.jpeg,7.6,1925
6,110,Data_fpbicc/images/IMG_7310.jpeg,1,1517
6,111,Data_fpbicc/images/IMG_7311.jpeg,1,1433
6,112,Data_fpbicc/images/IMG_7312.jpeg,1.1,1520
6,113,Data_fpbicc/images/IMG_7313.jpeg,10,1552
6,114,Data_fpbicc/images/IMG_7314.jpeg,3.2,1405
6,115,Data_fpbicc/images/IMG_7315.jpeg,2.8,1528
6,116,Data_fpbicc/images/IMG_7316.jpeg,1.3,1594
6,117,Data_fpbicc/images/IMG_7317.jpeg,1,1584
6,118,Data_fpbicc/images/IMG_7318.jpeg,1,1528
6,119,Data_fpbicc/images/IMG_7319.jpeg,8.8,1204
7,120,Data_fpbicc/images/IMG_7325.jpeg,1.8,1908
7,121,Data_fpbicc/images/IMG_7326.jpeg,1.7,1681
7,122,Data_fpbicc/images/IMG_7327.jpeg,2.9,1800
7,123,Data_fpbicc/images/IMG_7328.jpeg,3.3,1804
7,124,Data_fpbicc/images/IMG_7329.jpeg,2,1651
7,125,Data_fpbicc/images/IMG_7330.jpeg,2.3,1772
7,126,Data_fpbicc/images/IMG_7331.jpeg,5.9,1180
7,127,Data_fpbicc/images/IMG_7332.jpeg,6.2,967
7,128,Data_fpbicc/images/IMG_7333.jpeg,2.9,3053
7,129,Data_fpbicc/images/IMG_7334.jpeg,6.8,3110
